Field,Type,Null,Key,Default,Extra
dguid,text,YES,,NULL,
male_0_to_4_years,double,YES,,NULL,
male_10_to_14_years,double,YES,,NULL,
male_100_years_and_over,double,YES,,NULL,
male_15_to_19_years,double,YES,,NULL,
male_20_to_24_years,double,YES,,NULL,
male_25_to_29_years,double,YES,,NULL,
male_30_to_34_years,double,YES,,NULL,
male_35_to_39_years,double,YES,,NULL,
male_40_to_44_years,double,YES,,NULL,
male_45_to_49_years,double,YES,,NULL,
male_5_to_9_years,double,YES,,NULL,
male_50_to_54_years,double,YES,,NULL,
male_55_to_59_years,double,YES,,NULL,
male_60_to_64_years,double,YES,,NULL,
male_65_to_69_years,double,YES,,NULL,
male_70_to_74_years,double,YES,,NULL,
male_75_to_79_years,double,YES,,NULL,
male_80_to_84_years,double,YES,,NULL,
male_85_to_89_years,double,YES,,NULL,
male_90_to_94_years,double,YES,,NULL,
male_95_to_99_years,double,YES,,NULL,
female_0_to_4_years,double,YES,,NULL,
female_10_to_14_years,double,YES,,NULL,
female_100_years_and_over,double,YES,,NULL,
female_15_to_19_years,double,YES,,NULL,
female_20_to_24_years,double,YES,,NULL,
female_25_to_29_years,double,YES,,NULL,
female_30_to_34_years,double,YES,,NULL,
female_35_to_39_years,double,YES,,NULL,
female_40_to_44_years,double,YES,,NULL,
female_45_to_49_years,double,YES,,NULL,
female_5_to_9_years,double,YES,,NULL,
female_50_to_54_years,double,YES,,NULL,
female_55_to_59_years,double,YES,,NULL,
female_60_to_64_years,double,YES,,NULL,
female_65_to_69_years,double,YES,,NULL,
female_70_to_74_years,double,YES,,NULL,
female_75_to_79_years,double,YES,,NULL,
female_80_to_84_years,double,YES,,NULL,
female_85_to_89_years,double,YES,,NULL,
female_90_to_94_years,double,YES,,NULL,
female_95_to_99_years,double,YES,,NULL,
